"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Keystroke","d",,"47","1683564834759","test11.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","o",,"48","1683564834854","test11.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","n",,"49","1683564834919","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","e",,"50","1683564835003","test11.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","r","","40","1683564833869","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"41","1683564833877","test11.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","i","","41","1683564833971","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"42","1683564833986","test11.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","42","1683564834030","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"43","1683564834041","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","t","","43","1683564834077","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"44","1683564834084","test11.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","(","","44","1683564834378","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit",")","","45","1683564834383","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","(",,"45","1683564834384","test11.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"File.Edit","'","","45","1683564834541","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","'","","46","1683564834547","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","'",,"46","1683564834547","test11.py","1.1.5 for 2021-2022 @t1",,"'",,,,,
"File.Edit","d","","46","1683564834758","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"47","1683564834759","test11.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit","o","","47","1683564834854","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"48","1683564834854","test11.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","n","","48","1683564834918","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"49","1683564834919","test11.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","e","","49","1683564835002","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"50","1683564835003","test11.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Action","Up",,,"1683564836851","test11.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Up",,,"1683564837028","test11.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Up",,,"1683564837210","test11.py","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Move Caret to Line Start",,,"1683564837804","test11.py","1.1.5 for 2021-2022 @t1",,"Move Caret to Line Start",,,,,
"X-Action","Down with Selection",,,"1683564838411","test11.py","1.1.5 for 2021-2022 @t1",,"Down with Selection",,,,,
"X-Action","Down with Selection",,,"1683564838577","test11.py","1.1.5 for 2021-2022 @t1",,"Down with Selection",,,,,
"X-Action","Comment with Line Comment",,,"1683564839571","test11.py","1.1.5 for 2021-2022 @t1",,"Comment with Line Comment",,,,,
"File.Edit","# ","","6","1683564839593","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","# ","","0","1683564839599","test11.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Comment with Line Comment",,,"1683564840576","test11.py","1.1.5 for 2021-2022 @t1",,"Comment with Line Comment",,,,,
"File.Edit","","# ","8","1683564840584","test11.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","# ","0","1683564840587","test11.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,

"File.Edit","a","","0","1676048938960","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","=","","1","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","=","1","1683043701290","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","=","","0","1676048939208","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","=","0","1683043701290","test0.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","=","","1","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","3","","2","1676048939078","test0.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
